°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
14896,zh-TW,àòß£èİÛÉÍé,https://tchinese.visitseoul.net/restaurants/àòß£èİÛÉÍé/TCP014893?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014893,121-850 âÏì³ã¼Ø«øİÏ¡àòß£Ô×446ûÜ ,03936 âÏì³ã¼Ø«øİÏ¡á¦Í£ÛÍİÁÖØ233 ,-2227,,øÁìí12:00~15:00¡¢17:00~21:00/ñÎØÇ12:00~21:00 KST,"ò¢ôÑ6ûÜàÊ  á¦Í£ÛÊ?ëÀ?ó×(àòß£)  2ûÜõóÏ¢,  435m",,
24589,zh-CN,[ÛİÒ´ÖÕïÁ] Samwongarden,https://chinese.visitseoul.net/restaurants/Samwon-Garden-cn/CNP024586?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP024586,135-895  ,06023 âÏ?Ë°Ñõ?ãæŞŞÔ×623-5 ,-3498,https://sgdinehill.co.kr/samwon-garden/,"øÁìí11:30~14:30, 17:30~21:30/ñ²ØÇ11:~00~14:30, 17:00~21:00 KST","ò¢?3?? ää?ïÍó× 3?õóÏ¢,  521m",??¡¢ñéÙş,
48074,zh-TW,PROPPER COFFEE BAR 2ûÜïÁ,https://tchinese.visitseoul.net/restaurants/propercoffebar2/TCP322q02?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP322q02, ¼­¿ï ¼ÛÆÄ±¸ ¹æÀÌµ¿ 217 ,05647 âÏì³?÷çÏ¡çüĞÖÖØß²ìégaÊ¶20  1×§ ,-2530,,09:00~22:00,"ò¢ôÑ5 ûÜàÊ Û»ì¿ó×  3 ûÜõóÏ¢,  427m",,
42105,ja,1ìÑ1ÛÊ,https://japanese.visitseoul.net/restaurants/1ìÑ1ÛÊ/JPP042103?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP042103,  ,03308 «½«¦«ëã¼«¦«ó«Ô«ç«ó(ëÚøÁ)?«è«ó«½«í534 ,-3182,https://www.instagram.com/1in_official/,1Í­¡¢2Í­¡¢3Í­¡¢6Í­10:00 ~ 21:00 (KST) 4Í­¡¢5Í­11:00 ~ 20:00 (KST),"ò¢ù»? 3?àÊ/6?àÊ ¡¸ «è«ó«·«ó«Í(æÅãß?)  ¡¹? 3ÛãõóÏ¢, 100mòÁòä¡æ7211Ûã¡¢701Ûã«Ğ«¹?ó³¡æ¡¸«Ï«ÊÍÔÔõ?Îè¡¢	 «Á«ó«°«¡«ó«µ(òĞÎ°ŞÑ)¡¢«µ«à«Á«ç«ó«µ(ß²ô¹ŞÑ)¡¹ªÇù»ó³ı­Óù?150m",ùÛ?åŞ,
14695,en,Mansuui Jeongwon,https://english.visitseoul.net/restaurants/Mansuui-Jeongwon-E/ENP014695?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP014695,"110-200 Sogyeok-dong, Jongno-gu, Seoul 24-1","03053 35-2, Bukchon-ro 5ga-gil, Jongno-gu, Seoul ",-9540,,11:00 - 21:00 (KST),"Subway Line 3  Anguk Station  Exit 1,  740m",,common Korean food
14699,ja,«Ş«ó«¹«¨¡¤«¸«ç«ó«¦«©«ó,https://japanese.visitseoul.net/restaurants/«Ş«ó«¹«¨¡¤«¸«ç«ó«¦«©«ó-J/JPP014695?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014695,110-200 «½«¦«ëã¼ñ£ÖØ?á¹Ì«Ô× 24-1,03053 «½«¦«ëã¼«Á«ç«ó«Î«°(ñ¤ÖØ?)«×«¯«Á«ç«ó«í5«¬«®«ë35-2 ,-9540,,11:00 ~ 21:00 (KST),"ò¢ù»? 3?àÊ ¡¸ «¢«ó«°«¯¡¹? 1ÛãõóÏ¢,  740m",,ùÛ?Öù×âìéÚõ
12157,zh-CN,Coreanos Kitchen ÜâïÁ,https://chinese.visitseoul.net/restaurants/Coreanos-Kitchenää?ïÍïÁ/CNP012153?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012153, âÏ?÷å?ã¼Ë°Ñõ?ãæŞŞÔ×657-11 , âÏ?ã¼Ë°Ñõ?à¾×ÕÖØ157Ê¶25 ò¢ù»1? ,-4894,http://coreanoskitchen.com/,ñ²ìí~ñ²ß² 12:00~22:30 ñ²ŞÌ~ñ²×¿ 12:00~23:00,,,
13123,en,Chungmuro Jjukkumi Bulgogi,https://english.visitseoul.net/restaurants/Chungmuro-Jjukkumi-Bulgogi-EN/ENP013119?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP013119,"100-866 Pildong 1(il)-ga, Jung-gu, Seoul 3-20","04554 11 Toegye-ro 31-gil, Jung-gu, Seoul ",-3002,,Weekday 12:00 - 22:00 (KST) Saturday 12:00 - 21:30 (KST),"Subway line 3/4  Chungmuro Station  Exit 5,  124m",,baby octopus
6589,zh-TW,ÔàÊ¢úÍ,https://tchinese.visitseoul.net/restaurants/ÔàÊ¢úÍDogahun/TCP006587?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP006587,110-190 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡ŞÉÊßÔ× 80,03062 âÏì³ã¼ñ¤ÖØÏ¡ß²?ÖØ14 ,-5230,http://www.dugahun.com,12:00 ~ 22:00 (KST),"ò¢ôÑ3ûÜàÊ äÌÏĞó× 1ûÜõóÏ¢,  615m",,
5531,ja,«¯«ó«­«ï«Á«× ,https://japanese.visitseoul.net/restaurants/«¯«ó«­«ï«Á«×/JPP005504?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP005504," 49-6, Jae-dong, Jongno-gu, Seoul, Korea ",03059 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«×«¯«Á«ç«ó«í22(«Á«§«É«ó(î±Ô×)49-6)¡¢1Í­ ,-9666,https://blog.naver.com/keunkiwajip_0501,11:30 -21:00(«é«¹«È«ª?«À? 20:00),"ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹? 2ÛãõóÏ¢,   178m","ùÛ?åŞ,çÈåŞ,ìíÜâåŞ,ñé?åŞ(Ûå?)",«««ó«¸«ã«ó«±«¸«ã«ó(«««ËªÎ?êúò°ª±)¡¢«ä«ó«Ë«ç«à«²«¸«ã«ó(Ú«Üõª±«±«¸«ã«ó)¡¢«³«Ã«±«¸«ã«ó(«ï«¿«ê«¬«Ë)«Ó«Ó«ó«Ğ¡¢ìÑß¸«««ë«Ó«Á«à(«««ë«ÓªÎñúª·Úª)
